iso_res_C,iso_res_S,res_C,res_S,time,temperature,tempC,P,O,A,S,G,C,PYR,GYP,CAL,N,OSr,SSr,d13c_A,delta_mccb,d34s_S,delta_G,delta_C,delta_PYR,delta_GYP,delta_o,delta_a,d_mccb,d_locb,d_mocb,delta_OSr,UPLIFT,DEGASS,W,EVO,CPland,Bforcing,BAS_AREA,GRAN_AREA,CARB_AREA,PG,RCO2,RO2,mrO2,VEG,ANOX,mocb,locb,mccb,mpsb,mgsb,silw,carbw,oxidw,basw,granw,phosw,psea,nfix,denit,pyrw,gypw,ocdeg,ccdeg,pyrdeg,gypdeg,sfw,DOC_res,evapdis,pulse_pyr,DOC_ox,Sr_granw,Sr_basw,Sr_sedw,Sr_mantle,dSSr,relativenewp,U,d238U_sw,d_in,time_myr,firef,cpoint,V_o2
-2.59722357529017e+22,1.05027088190943e+20,5.78904278352828e+21,4.50000000633621e+20,-438369618.850341,290.98889780655,17.98889780655,6.03140633117622e+15,2.43735451662521e+19,5.82764812036965e+18,2.37536810585498e+19,8.24320338958891e+20,4.95889479644902e+21,3.47908495793563e+20,7.83378237815077e+19,1,5.51519904852637e+16,1.21521834751987e+17,5.07821170834621e+18,1.32122882964665,1.32122882964665,23.6864334016706,-25.0430925082748,-1.0761278719663,-9.8994373449141,38.1231608878284,0.256248234938716,-8.44262395737535,0.812738046404164,-25.7363462771391,-25.5498354794655,0.707851646604376,0.820322405012054,1.85084977491743,0.75,0.15,2,0.75,0.780287922938574,1.74371449240662,1,0.727226214511818,3.33110869728124,0.658744463952759,0.149012110816229,0.248654989084878,0.180051702810096,4018684178209.3,1899482197859.11,20102561521793.6,1014368745810.8,890763039695.617,14848392438066.9,5254169083726.67,1679593588158.86,2475776252695.16,12372616185371.8,64931730271.0189,63982369068.529,398401702101024,398094584264282,814741713474.672,257250107374.516,1525693113821.92,20650880965155.5,894342168238.025,362478858783.812,3884466479183.83,3.32639884093272e+15,0,0,2771999034.1106,12139170596.9685,2429063493.21034,11339757757.4099,13511203356.8972,0.708950190571732,1.26786185023595,2016137840670.8,-0.740572613826778,-3.74939252652828,-438.369618850341,1,166.69247924991,1
-2.59733997231221e+22,1.05027088190943e+20,5.78927181512952e+21,4.500000006336e+20,-438061073.356763,290.955653331943,17.955653331943,5.97363753684945e+15,2.45496777990222e+19,5.81262063575561e+18,2.38840108387623e+19,8.25154730015105e+20,4.95830446447866e+21,3.47693882625995e+20,7.84221071688434e+19,1,5.51200546465861e+16,1.2153071496094e+17,5.0773628372013e+18,1.32490079761927,1.32490079761927,23.5851816733447,-25.0414430359862,-1.07255126009088,-9.90524287936915,38.0723091528731,0.255696864916685,-8.44689891867895,0.810524940823388,-25.7644229455738,-25.5631016943808,0.707853048487428,0.820337142480635,1.84846969368737,0.75,0.15,2,0.75,0.7785249966368,1.74033131813493,1,0.730938052680071,3.31395129782627,0.663504805378978,0.149927485011997,0.248473634605423,0.172710590038052,4014031476076.94,1896862664522.83,20094071016835.7,1011444368649.25,895650406453.585,14833164931614.2,5260906085221.45,1687367607830.34,2473090540467.52,12360074391146.7,64889511010.0836,63941459050.3551,381391825831000,381864408087358,814243953708.403,257857088012.786,1525273511035.7,20621869952993,892641117659.227,362402221041.774,3871637773066.33,2.57400773763933e+15,0,0,2145006448.03277,12126865440.3703,2426428454.79832,11352399845.0216,13493828763.9178,0.708950274084269,1.26712769302497,2077191357869.77,-0.740069480729764,-3.75276504651204,-438.061073356763,1,166.038563320802,1
-2.59745571561086e+22,1.05027088190942e+20,5.78950038781707e+21,4.50000000633588e+20,-437752527.863185,290.928893651193,17.9288936511934,5.92061029920745e+15,2.47221830527362e+19,5.80023847476365e+18,2.40130858049513e+19,8.25985181765122e+20,4.95771496757719e+21,3.4747919566715e+20,7.85077191614865e+19,1,5.50758518574096e+16,1.21542818363821e+17,5.0765181394928e+18,1.32348242743483,1.32348242743483,23.4867059633623,-25.039836708829,-1.06898029216145,-9.91112043815171,38.0210633108113,0.2552400691908,-8.45035358597072,0.808730278128527,-25.7911891336378,-25.5776538060285,0.707854483721553,0.820374156216724,1.84598420795078,0.75,0.15,2,0.75,0.776720884220271,1.73694814386325,1,0.734649890848325,3.29984744503332,0.66816710953341,0.150822100614571,0.248322228790108,0.165587939494726,4007596060007.05,1895804381258.26,20099992121248,1008195744466.01,900490717685.673,14828775545991.8,5271216575256.19,1695015005695.74,2471979299286.72,12356796246705.1,64892850387.2107,63945327357.4579,366379802965873,366047096596822,813753307023.16,258644494080.991,1524755601539.77,20591692959754.6,890890427490.278,362310024435.848,3860146373032.43,1.99120402475337e+15,0,0,1659336687.29448,12123649147.7107,2425338180.43225,11372756288.6304,13475684718.0407,0.708950360494289,1.26611153695195,2151893055986.99,-0.737689532208812,-3.7559005321069,-437.752527863185,1,165.496139168949,1
-2.59757092421488e+22,1.05027088190942e+20,5.78972862064365e+21,4.50000000633609e+20,-437443805.893996,290.900598892275,17.900598892275,5.87923699803916e+15,2.48915715211272e+19,5.7872659531731e+18,2.41409767500983e+19,8.26812486918644e+20,4.95712886777183e+21,3.47264353568633e+20,7.85946703148784e+19,1,5.51005920018715e+16,1.21556309035016e+17,5.07568118488035e+18,1.32193529456264,1.32193529456264,23.390909049666,-25.0382777601851,-1.06541489460751,-9.91707155583313,37.9694084577721,0.254761958762975,-8.45400214179394,0.806837285815927,-25.8177280230273,-25.5913314165144,0.707856058658305,0.820416691801335,1.84347127308431,0.75,0.15,2,0.75,0.774905569837774,1.73356303455196,1,0.7383638520387,3.28510340578798,0.672745176246681,0.151698722138541,0.248162584067807,0.159663939068787,4011197303417.5,1894301619992.26,20101897796899.5,1007572510106.66,905286628128.688,14821294324190,5280603472709.51,1702544602285.9,2470341860232.16,12350952463957.8,64883124224.4588,63936352274.7867,353799999383754,353304964500200,813264088004.44,259392055625.754,1524205067861.92,20561230495607.2,889127583291.62,362217542357.526,3848265611748.44,1.55425998834977e+15,0,0,1295216656.95815,12117915625.0152,2423731636.45419,11391130368.7793,13457340293.5155,0.708950448997987,1.26668027590509,2239872302801.3,-0.734466431866486,-3.75916138147696,-437.443805893996,1,164.929727380431,1
-2.59768573207932e+22,1.05027088190942e+20,5.78995646730271e+21,4.50000000633601e+20,-437135083.924807,290.868950958467,17.8689509584675,5.82860154671582e+15,2.50599056409901e+19,5.77298050795899e+18,2.42672640594179e+19,8.27637677749034e+20,4.95654580904571e+21,3.47049848676438e+20,7.86828878977458e+19,1,5.51031386813908e+16,1.2157149764314e+17,5.07485184645867e+18,1.32461744196517,1.32461744196517,23.2983957361114,-25.0367619576905,-1.06185577400346,-9.92310125738739,37.9173875818638,0.254236600605326,-8.45807440148598,0.804729043835273,-25.8445481367549,-25.6039000650086,0.707857733275897,0.820459227385946,1.84095833821783,0.75,0.15,2,0.75,0.773090255455277,1.73017792524068,1,0.742077813229075,3.26890534456533,0.677294747053787,0.1525680959804,0.247985739180374,0.153684270093689,4011568096896,1891898195457.06,20095552977967.7,1006132823356.84,910022402228.173,14807548185292.1,5288004792675.55,1710025995002.66,2467710173606.99,12339838011685.1,64847013842.5513,63901443124.4618,339195938629120,340292846232141,812775641008.1,260047180190.521,1523646483875.33,20530787255823.1,887367100969.618,362129796376.035,3835632226592.34,1.200499457104e+15,0,0,1000416214.25333,12107010879.3892,2421149604.29365,11405232376.6315,13438995868.9902,0.70895053982086,1.26673882026186,2306651359274.53,-0.734587653354122,-3.76263919274923,-437.135083924807,1,164.309306095272,1
-2.59780013991247e+22,1.05027088190943e+20,5.79018392522698e+21,4.50000000633597e+20,-436826361.955618,290.839386960582,17.839386960582,5.78276735983345e+15,2.5225531370979e+19,5.75956221920941e+18,2.43921841494317e+19,8.28459565557844e+20,4.95596479744993e+21,3.46835446605951e+20,7.87723698782137e+19,1,5.50527418559937e+16,1.21588681229213e+17,5.07402875429062e+18,1.32487438397724,1.32487438397724,23.2085771810968,-25.0352871392273,-1.05830230902577,-9.92919809293168,37.8650161135902,0.253742155220701,-8.46188289131142,0.802755632292945,-25.8707384819843,-25.6166582428002,0.707859463220888,0.820517393043404,1.83837513798379,0.75,0.15,2,0.75,0.771247680062289,1.7267928159294,1,0.745791774419449,3.25372700136549,0.681771118134568,0.153421744732156,0.24781798909507,0.14736863892122,4004233565679.33,1889956805868.76,20093516768794.1,1002835114884.92,914706905603.689,14796992198566.8,5296524570227.23,1717411559149.57,2465488941947.44,12331503256619.4,64824320899.9716,63879720488.3984,327161670097389,326233763775712,812292523401.229,260762370321.867,1523019468146.39,20499575553798.3,885574530572.061,362032915860.427,3823371478772.91,928953778559508,0,0,774128148.79959,12098833383.853,2418970282.66542,11421755136.0344,13420138507.2816,0.70895063357737,1.26558027255158,2380455162509.12,-0.732656375487072,-3.76604526564407,-436.826361955618,1,163.725856309406,1
-2.597914198538e+22,1.05027088190942e+20,5.79041098977471e+21,4.50000000633598e+20,-436517639.986429,290.810737466142,17.8107374661421,5.7404658676302e+15,2.53885587855065e+19,5.74653937218216e+18,2.45157127819833e+19,8.29278190674763e+20,4.95538625972777e+21,3.46621179979372e+20,7.88631078722426e+19,1,5.50695038843381e+16,1.21607540556178e+17,5.07321258993993e+18,1.32395546555955,1.32395546555955,23.121384274654,-25.0338539384375,-1.05475552741134,-9.93536025129284,37.8123085238504,0.253261729303224,-8.46557549117274,0.800841702196371,-25.8964618135385,-25.6292957974762,0.707861262079301,0.820587718314805,1.83573727391346,0.75,0.15,2,0.75,0.76938389661951,1.72340770661811,1,0.749505735609824,3.23902974376003,0.686177264473148,0.154260323650663,0.247653766778343,0.142105643060561,4006672292333.37,1888184731434.4,20093093543371.4,1002051547773.97,919339229324.373,14787594022865.4,5305499520506.04,1724703537950.97,2463376487995.08,12324217534870.3,64806485384.7235,63862770655.9526,315162446770698,314873125476323,811813668404.505,261505113126.125,1522336885065.18,20467771343147,883757527799.999,361929866644.334,3811240820685.78,718393411781236,0,0,598661176.484363,12091685128.552,2416897686.3348,11439268959.4244,13400882099.5683,0.708950730435057,1.26596560653651,2471579558460.4,-0.728696645358217,-3.76942019070262,-436.517639986429,1,163.159626839762,1
-2.59802795086359e+22,1.05027088190943e+20,5.79063767757329e+21,4.50000000633599e+20,-436208918.01724,290.780972521676,17.780972521676,5.69646299761506e+15,2.55499238505221e+19,5.73310268685662e+18,2.46377203183124e+19,8.30094199252305e+20,4.95481037563412e+21,3.46407202116175e+20,7.89550781991115e+19,1,5.50759032962958e+16,1.21627761957566e+17,5.07240368136572e+18,1.32494906282072,1.32494906282072,23.036969192279,-25.0324618064361,-1.05121565595208,-9.94158932486318,37.7592790085721,0.252766278813617,-8.46940884998749,0.798856635759069,-25.9221012622202,-25.6413666878106,0.707863128997023,0.820658043586205,1.83309940984314,0.75,0.15,2,0.75,0.76752011317673,1.72002259730683,1,0.753219696800199,3.22390031062925,0.690538482446544,0.155088717406685,0.247483099353218,0.136940873790632,4007603545914.82,1886073624435.67,20089567744201.1,1000910919153.58,923914511936.716,14775839279319.3,5313728464881.81,1731927276681.93,2460885743887.48,12314953535431.8,64778669127.7137,63836009530.2207,303103967228390,303662325939396,811335460030,262216154045.993,1521645186763.61,20435984944784,881942830228.574,361831268127.275,3798883159168.69,555020399498214,0,0,462516999.581845,12082595921.5557,2414453937.39904,11455184726.4938,13381625691.8549,0.70895083038806,1.26611271945508,2552219015161.62,-0.727592200326648,-3.77286038675686,-436.20891801724,1,162.576942544617,1
-2.59814143300683e+22,1.05027088190942e+20,5.79086401082588e+21,4.50000000633599e+20,-435900196.048051,290.751445024007,17.7514450240072,5.65475784832628e+15,2.57091966290388e+19,5.71979155823093e+18,2.47582999041903e+19,8.3090732130429e+20,4.95423689796336e+21,3.46193444121864e+20,7.90482566075455e+19,1,5.50498383786558e+16,1.21649276726867e+17,5.07160176963478e+18,1.32575447474722,1.32575447474722,22.9551076330121,-25.0311092921978,-1.04768211633157,-9.94788135228465,37.7059417128048,0.25227516232876,-8.47321192223927,0.796887485233757,-25.9474276829202,-25.6531941426837,0.707865046493098,0.820737352735794,1.83042373151458,0.75,0.15,2,0.75,0.765641813074403,1.71684188363914,1,0.756933657990573,3.20894717427792,0.694843152136183,0.155904780226143,0.247312627794177,0.131658066012679,4003811210881.39,1884128145656.42,20087563369917.1,998632437979.798,928436246407.135,14765545353285.1,5322018016632.02,1739074376642.29,2458341090377.91,12307204262907.2,64756455749.6352,63814768502.4361,292422446048823,292019617104569,810860665986.17,262935153655.443,1520912479604.58,20403793776548.9,880112077521.424,361729512073.263,3786534166309.51,428820071110079,0,0,357350059.258399,12074992861.7202,2411957296.21984,11471241296.2511,13362093240.0564,0.708950933524506,1.26551352594611,2628187329472.41,-0.727105321047202,-3.77629379651077,-435.900196048051,1,162.000244597104,1
-2.59827632253205e+22,1.05027088190942e+20,5.79113322537148e+21,4.50000000633599e+20,-435532334.833256,290.713906432115,17.7139064321153,5.60959603934164e+15,2.5896480452258e+19,5.70303995282088e+18,2.49000737671098e+19,8.31872564595306e+20,4.95355762082335e+21,3.45939071659601e+20,7.91608552068883e+19,1,5.50590652361696e+16,1.2167596114961e+17,5.07065711531966e+18,1.32657861350743,1.32657861350743,22.860794281819,-25.0295469551835,-1.04347940117987,-9.95545728385626,37.6420045884457,0.251657729706013,-8.47804084743921,0.794390580230257,-25.9775652328795,-25.6662422249773,0.707867438891023,0.820854262743217,1.8271411769921,0.75,0.15,2,0.75,0.7633674944092,1.71356168695075,1,0.761359071182839,3.1901785531154,0.699904877088055,0.156862348339624,0.247096405866647,0.126071845712692,4005153474277.69,1881557636299.25,20082865275842.8,997421709091.687,933752766266.618,14752321678744.8,5330543597097.99,1747506920744.84,2454456956269.4,12297864722475.4,64724696631.868,63784294125.2456,280465842875749,279907091997324,810302956322.704,263731493664.925,1519948616782.1,20364410478621,877888225777.329,361595145386.037,3771126812249.15,315918638993251,0,0,263265532.494376,12065829539.0324,2408146447.66054,11487477498.1373,13338130592.0423,0.708951060635318,1.2657256376131,2732597122779.78,-0.72321831962702,-3.78052962620777,-435.532334833256,1,161.277181499179,1
